epoch,train_loss,val_loss
1,0.025728499150136485,0.007251129066571593
2,0.003685968964418862,0.0018764666863717138
3,0.0013349020744499284,0.0009492333221714944
4,0.0008003174552868586,0.0007021508528850973
5,0.0005230540988122812,0.0005588858213741333
6,0.00040722308331169187,0.00035898624919354915
7,0.00032772544764156917,0.0003308546874905005
8,0.00027100534352939574,0.0002792576007777825
9,0.00023906651204015362,0.00024390930775552988
10,0.0002130343995304429,0.00021367685549193992
11,0.0001867496574050165,0.00017692585242912173
12,0.00017214526396855945,0.00016228788590524345
13,0.00016097468178486452,0.0001533509057480842
14,0.00015287298338080292,0.00015659692871849984
15,0.00014728584847034654,0.00014763724320800974
