step,epoch,train_loss,val_loss,train_mse,train_l1,train_swd,train_grad,train_geo,train_vert,val_rmse,val_max_error,val_gdl,val_spectral_ratio,timestamp
50,1,17.24879264831543,118.00292861938476,0.0010807988001033664,0.051964420825242996,0.0373266376554966,0.18372926115989685,85.76498413085938,0.0012888623168691993,2.3662173318862916,20.531271514892577,4.2982661914825435,0.1243096834772724,2026-07-24 11:56:25
100,2,2.062007427215576,2.0507391810417177,0.00039783757529221475,0.050296809524297714,0.0113148782402277,0.17524969577789307,9.891061782836914,0.00040670312591828406,2.767536005973816,23.177585792541503,4.742500061988831,0.16705395044955879,2026-07-24 11:56:43
150,2,1.2578368186950684,1.3566615509986877,0.00022731612261850387,0.04854968190193176,0.009482098743319511,0.16774392127990723,5.890225410461426,0.00023755163419991732,2.738051385879517,23.208315925598143,4.677391042709351,0.15839593558855586,2026-07-24 11:56:58
200,3,1.0778529644012451,1.135788345336914,0.00017498258966952562,0.04605672508478165,0.00765221519395709,0.15900960564613342,5.013195991516113,0.00016812197281979024,2.7205195522308347,23.216671104431153,4.647403273582459,0.1526404615713629,2026-07-24 11:57:13
250,4,0.9320919513702393,1.008312165737152,0.00014956739323679358,0.04483494535088539,0.007905974052846432,0.16075104475021362,4.281845569610596,0.00012909508950542659,2.707540602684021,23.21781478881836,4.628662581443787,0.14810465321359845,2026-07-24 11:57:28
300,4,0.8328495621681213,0.917442318201065,0.00012969234376214445,0.04243976250290871,0.006921984255313873,0.14935427904129028,3.8123650550842285,0.00010456636664457619,2.6988379621505736,23.220476341247558,4.615453038215637,0.1434892847716761,2026-07-24 11:57:43
350,5,0.7807230353355408,0.851295428276062,0.00011438362707849592,0.04168489947915077,0.007784649729728699,0.14991065859794617,3.5501272678375244,8.860074012773111e-05,2.6922664070129394,23.229985122680663,4.606391348838806,0.13907782114841363,2026-07-24 11:57:58
400,6,0.774575412273407,0.7616324627399444,0.00010354202822782099,0.04063298553228378,0.007149397395551205,0.14313733577728271,3.534976005554199,7.618920062668622e-05,2.6874582242965697,23.234146919250488,4.599394764900207,0.13640200032861402,2026-07-24 11:58:13
450,6,0.7078055739402771,0.7280887138843536,9.743824193719774e-05,0.0402214452624321,0.006559883244335651,0.14547047019004822,3.1977787017822266,6.723238038830459e-05,2.682607440948486,23.236141815185547,4.593142056465149,0.1338266839821336,2026-07-24 11:58:28
500,7,0.6358051896095276,0.6780541336536408,9.177232277579606e-05,0.039124153554439545,0.005469074472784996,0.14262178540229797,2.8462271690368652,5.9890451666433364e-05,2.679625849723816,23.247844696044922,4.589325060844422,0.13199512692026336,2026-07-24 11:58:42
550,8,0.5936785936355591,0.6386415147781372,8.775512833381072e-05,0.0386333130300045,0.006131113972514868,0.14067865908145905,2.638993263244629,5.3893731092102826e-05,2.6758312225341796,23.252669563293455,4.585159349441528,0.13072502893124183,2026-07-24 11:58:57
600,8,0.5913050174713135,0.6595213174819946,8.604810864198953e-05,0.03836434707045555,0.006181459873914719,0.14303141832351685,2.622621536254883,4.996966163162142e-05,2.672249894142151,23.255677795410158,4.5814235496521,0.12928289424583614,2026-07-24 11:59:12
650,9,0.5691828727722168,0.6205965912342072,8.167509804479778e-05,0.037609510123729706,0.005947539582848549,0.1405072957277298,2.5181779861450195,4.5690198021475226e-05,2.6693537187576295,23.257952003479005,4.5783496809005735,0.12787233300763678,2026-07-24 11:59:27
700,10,0.6592381596565247,0.8799710464477539,8.039033855311573e-05,0.03685661032795906,0.005875628441572189,0.13823026418685913,2.973876476287842,4.1962302930187434e-05,2.6666751670837403,23.264111785888673,4.57584445476532,0.12710661413290805,2026-07-24 11:59:42
750,10,0.5033215880393982,0.6480480670928955,7.66152807045728e-05,0.036033496260643005,0.006171832792460918,0.1350775808095932,2.2009880542755127,3.896695125149563e-05,2.664022545814514,23.265971183776855,4.573903574943542,0.12621296428959838,2026-07-24 11:59:57
800,11,0.6309969425201416,0.5402348721027375,7.632758206455037e-05,0.036021891981363297,0.004884557798504829,0.13633151352405548,2.83880352973938,3.65770683856681e-05,2.6628268814086913,23.246264457702637,4.574537572860717,0.12516436537090123,2026-07-24 12:00:12
850,12,1.6317496299743652,2.8012010288238525,7.039622141746804e-05,0.03497587516903877,0.005124965682625771,0.13356202840805054,7.848803520202637,3.446697519393638e-05,2.660797481536865,23.255765953063964,4.572172145843506,0.12477369560037889,2026-07-24 12:00:27
900,12,0.6529572010040283,1.3618611192703247,7.27579536032863e-05,0.034371163696050644,0.004669278394430876,0.1344006061553955,2.954451084136963,3.292322071501985e-05,2.660833702087402,23.192324256896974,4.578558006286621,0.12220225989450183,2026-07-24 12:00:43
950,13,0.4143197536468506,0.4425272399187088,6.940450111869723e-05,0.03377735614776611,0.0048093958757817745,0.13151484727859497,1.7674267292022705,3.114489663857967e-05,2.6605904340744018,23.207759017944337,4.576790904998779,0.12175116766777291,2026-07-24 12:00:58
1000,14,0.42438560724258423,0.468992725610733,6.848625343991444e-05,0.03399466723203659,0.005536381620913744,0.13549154996871948,1.8084981441497803,2.980576755362563e-05,2.659076418876648,23.21126335144043,4.57547176361084,0.12123764438430258,2026-07-24 12:01:14
