global_step,epoch,batch_in_epoch,train_loss,val_loss_quick,val_rmse_quick,val_nrmse_quick
50,1,50,0.013438434340059757,0.01268050353974104,582.8477172851562,0.005528778597353996
100,2,100,0.004057419486343861,0.00397734297439456,335.3069763183594,0.003180655905881235
150,2,150,0.001965330448001623,0.001759297912940383,221.1404266357422,0.0020976945118500864
200,3,200,0.0010212352499365807,0.0010734107345342636,167.61825561523438,0.0015899937439712447
250,4,250,0.0007082927040755749,0.000733673688955605,121.55317687988281,0.0011530294841063727
300,4,300,0.000552839832380414,0.0005936596426181495,113.13577270507812,0.001073183646734465
350,5,350,0.000495581072755158,0.000521029403898865,90.2716064453125,0.0008562986709261278
400,5,400,0.0003425220784265548,0.00036399165401235223,83.32518768310547,0.0007904063113238016
450,6,450,0.00045686462544836104,0.00036850530887022614,77.86756134033203,0.0007386363432490728
500,7,500,0.00030892083304934204,0.0002929404436144978,70.07670593261719,0.0006647338240217739
550,7,550,0.0002623635809868574,0.0002874372876249254,65.92508697509766,0.0006253523846577879
600,8,600,0.0002954239025712013,0.0002447915030643344,68.67386627197266,0.0006514267634272547
650,9,650,0.0002078547258861363,0.00022704366710968316,58.264869689941406,0.0005526890729191359
700,9,700,0.0001871647109510377,0.00018888431077357382,51.258026123046875,0.00048622353552611394
750,10,750,0.00017384056991431862,0.0001813893613871187,54.732574462890625,0.0005191824164260481
800,10,800,0.00019713547953870147,0.00019120328943245113,52.7220458984375,0.0005001109386337126
850,11,850,0.00017889178707264364,0.00017390864377375692,52.26667785644531,0.0004957914071166086
900,12,900,0.0001831467670854181,0.00016107381088659167,47.80038070678711,0.0004534249924286149
950,12,950,0.00015234290913213044,0.0001530909794382751,50.057777404785156,0.000474838212690955
1000,13,1000,0.00016874608991201967,0.00015369248285423964,46.96040725708008,0.00044545716979954597
1050,14,1050,0.00013570541341323406,0.0001388490345561877,44.32390213012695,0.00042044780168258903
1100,14,1100,0.00013404939090833068,0.00013913901057094336,42.67316818237305,0.00040478926472755397
1150,15,1150,0.00013635361392516643,0.00013923985534347594,44.770748138427734,0.00042468649486734374
1200,15,1200,0.0001323589967796579,0.0001475472963647917,46.81720733642578,0.000444098803569437
