sample,rmse,nrmse,surface_score,pressure_score
0,0.002294949721544981,0.15717807412147522,0.1445154845714569,0.1622430831193924
1,0.002251437632367015,0.15284810960292816,0.13941837847232819,0.15822000801563263
2,0.0022913035936653614,0.15629510581493378,0.1421724557876587,0.1619441658258438
3,0.0022315061651170254,0.1521785408258438,0.1426057070493698,0.15600764751434326
4,0.002260301262140274,0.15518006682395935,0.1441684365272522,0.15958470106124878
5,0.0022424350026994944,0.15370309352874756,0.1424226462841034,0.1582152545452118
6,0.0022241338156163692,0.15169468522071838,0.14130136370658875,0.15585201978683472
7,0.00224729860201478,0.15490926802158356,0.14417344331741333,0.15920357406139374
8,0.002237088279798627,0.15340325236320496,0.14295576512813568,0.15758223831653595
9,0.0022514525335282087,0.15349169075489044,0.1422589272260666,0.15798476338386536
10,0.0022468536626547575,0.15460219979286194,0.14408735930919647,0.1588081568479538
11,0.0022578826174139977,0.15532909333705902,0.14303149282932281,0.16024814546108246
12,0.0023044042754918337,0.15895886719226837,0.14401166141033173,0.16493774950504303
13,0.0022540458012372255,0.15326066315174103,0.14130209386348724,0.15804408490657806
14,0.002280988497659564,0.15658049285411835,0.14224176108837128,0.1623159945011139
15,0.002291229087859392,0.15856461226940155,0.14555220305919647,0.16376957297325134
16,0.0022143530659377575,0.15174131095409393,0.14334987103939056,0.1550978720188141
17,0.0022554979659616947,0.1535438746213913,0.14414042234420776,0.1573052704334259
18,0.0022682216949760914,0.15536125004291534,0.14348874986171722,0.1601102203130722
19,0.0022629932500422,0.15478232502937317,0.14213207364082336,0.15984240174293518
20,0.0022288342006504536,0.15336337685585022,0.1405859738588333,0.15847435593605042
21,0.0022611033637076616,0.15662992000579834,0.1436973363161087,0.1618029922246933
22,0.0022627210710197687,0.1539665162563324,0.14173054695129395,0.15886090695858002
23,0.0022952649742364883,0.15752911567687988,0.14553244411945343,0.16232776641845703
24,0.0022662742994725704,0.15510526299476624,0.14459054172039032,0.1593111753463745
25,0.002273207763209939,0.1547270566225052,0.1430739015340805,0.15938828885555267
26,0.002252475591376424,0.15279515087604523,0.14291951060295105,0.15674537420272827
27,0.0023142423015087843,0.15610015392303467,0.1426793336868286,0.1614684760570526
28,0.002271477598696947,0.15442509949207306,0.14439091086387634,0.15843872725963593
29,0.0023405614774674177,0.1585765928030014,0.1460360884666443,0.1635928452014923
30,0.0023226779885590076,0.15726371109485626,0.14331723749637604,0.1628423035144806
31,0.0022719865664839745,0.15668430924415588,0.14498469233512878,0.16136416792869568
32,0.0022611289750784636,0.15485785901546478,0.14358186721801758,0.15936824679374695
33,0.0022408596705645323,0.15484097599983215,0.14506110548973083,0.1587529182434082
34,0.0022463276982307434,0.15475185215473175,0.1465563178062439,0.15803007781505585
35,0.002198915695771575,0.15114812552928925,0.14265176653862,0.15454664826393127
36,0.002261280082166195,0.1546199470758438,0.1442965567111969,0.1587492823600769
37,0.0022556642070412636,0.15255804359912872,0.14162740111351013,0.15693029761314392
38,0.0022788019850850105,0.15363182127475739,0.1421629786491394,0.1582193672657013
39,0.002313629724085331,0.15825489163398743,0.14688579738140106,0.1628025323152542
40,0.0022748196497559547,0.15462704002857208,0.14408904314041138,0.15884225070476532
41,0.0023101158440113068,0.15789544582366943,0.14851097762584686,0.1616492122411728
42,0.002296644262969494,0.1580388844013214,0.14681586623191833,0.16252809762954712
43,0.0022601408418267965,0.15471278131008148,0.14288343489170074,0.15944455564022064
44,0.0022618540097028017,0.15576981008052826,0.1451253741979599,0.16002759337425232
45,0.002289623487740755,0.15653549134731293,0.14394226670265198,0.16157278418540955
46,0.0023006934206932783,0.1580398976802826,0.14512154459953308,0.16320721805095673
47,0.0022907964885234833,0.15624593198299408,0.14313477277755737,0.16149041056632996
48,0.002344762207940221,0.15810520946979523,0.14428114891052246,0.16363482177257538
49,0.002342699561268091,0.15540528297424316,0.14196676015853882,0.16078069806098938
50,0.002347767585888505,0.15639720857143402,0.14492900669574738,0.16098450124263763
51,0.0023733675479888916,0.15978991985321045,0.14564840495586395,0.16544649004936218
52,0.002356581389904022,0.15789541602134705,0.1451641321182251,0.16298788785934448
53,0.0023364443331956863,0.15682271122932434,0.14340740442276,0.1621888428926468
54,0.0022397604770958424,0.15189774334430695,0.14309550821781158,0.15541866421699524
55,0.002267637988552451,0.15349462628364563,0.14361290633678436,0.15744735300540924
56,0.002214930485934019,0.15105757117271423,0.14211836457252502,0.1546332687139511
57,0.0022402633912861347,0.15348124504089355,0.14264526963233948,0.15781565010547638
58,0.0022251084446907043,0.1524042934179306,0.14243866503238678,0.15639057755470276
59,0.0022117220796644688,0.15212382376194,0.14380061626434326,0.15545311570167542
60,0.002245070179924369,0.1550903469324112,0.14384715259075165,0.15958762168884277
61,0.0022200632374733686,0.152212455868721,0.14230701327323914,0.15617458522319794
62,0.0022575317416340113,0.15626391768455505,0.14557702839374542,0.1605386734008789
63,0.002245222683995962,0.15352441370487213,0.14224989712238312,0.15803419053554535
